gu,ym,mpi_gu,rnk,chg
26530,202306,0.4462,1,0.0
26440,202306,0.4145,2,0.0
26200,202306,0.3902,3,0.0
26140,202306,0.3736,4,0.0
26290,202306,0.3623,5,0.0
26350,202306,0.3331,6,0.0
26320,202306,0.3276,7,0.0
26410,202306,0.3177,8,0.0
26380,202306,0.3121,9,0.0
26710,202306,0.3086,10,0.0
26470,202306,0.3034,11,0.0
26500,202306,0.3025,12,0.0
26110,202306,0.3006,13,0.0
26230,202306,0.2998,14,0.0
26260,202306,0.2972,15,0.0
26170,202306,0.2263,16,0.0
26530,202307,0.3938,1,-0.1174
26140,202307,0.3446,2,-0.0775
26440,202307,0.3348,3,-0.1923
26410,202307,0.3218,4,0.0129
26200,202307,0.3147,5,-0.1934
26290,202307,0.3077,6,-0.1506
26320,202307,0.2872,7,-0.1231
26380,202307,0.2816,8,-0.0979
26470,202307,0.2748,9,-0.0941
26500,202307,0.2693,10,-0.1098
26230,202307,0.269,11,-0.1029
26350,202307,0.2551,12,-0.2344
26710,202307,0.2546,13,-0.175
26260,202307,0.2503,14,-0.1577
26110,202307,0.2419,15,-0.1952
26170,202307,0.2087,16,-0.0777
26530,202308,0.413,1,-0.0745
26440,202308,0.374,2,-0.0978
26140,202308,0.3599,3,-0.0367
26200,202308,0.3418,4,-0.1241
26230,202308,0.3236,5,0.0791
26290,202308,0.3188,6,-0.1202
26410,202308,0.299,7,-0.0587
26320,202308,0.2897,8,-0.1155
26350,202308,0.2876,9,-0.1368
26260,202308,0.2817,10,-0.0521
26470,202308,0.2801,11,-0.077
26380,202308,0.2787,12,-0.1071
26500,202308,0.269,13,-0.1106
26710,202308,0.2568,14,-0.1678
26110,202308,0.2505,15,-0.1666
26170,202308,0.2126,16,-0.0604
26530,202309,0.3732,1,-0.1636
26140,202309,0.3373,2,-0.097
26200,202309,0.3123,3,-0.1997
26440,202309,0.3092,4,-0.2541
26290,202309,0.3059,5,-0.1558
26500,202309,0.2894,6,-0.0434
26350,202309,0.2877,7,-0.1364
26230,202309,0.2827,8,-0.0571
26470,202309,0.2802,9,-0.0764
26320,202309,0.2794,10,-0.1471
26260,202309,0.2658,11,-0.1055
26380,202309,0.2637,12,-0.1551
26410,202309,0.2524,13,-0.2053
26710,202309,0.2417,14,-0.2167
26110,202309,0.2395,15,-0.2033
26170,202309,0.2319,16,0.025
26530,202310,0.3949,1,-0.115
26440,202310,0.3338,2,-0.1947
26500,202310,0.3217,3,0.0633
26200,202310,0.3087,4,-0.2088
26140,202310,0.3063,5,-0.1802
26290,202310,0.2824,6,-0.2205
26350,202310,0.2811,7,-0.1561
26320,202310,0.2718,8,-0.1702
26470,202310,0.2627,9,-0.134
26410,202310,0.258,10,-0.1877
26230,202310,0.2566,11,-0.1443
26380,202310,0.2512,12,-0.1954
26260,202310,0.2484,13,-0.1642
26710,202310,0.2448,14,-0.2067
26110,202310,0.2102,15,-0.3006
26170,202310,0.1674,16,-0.26
26530,202311,0.4043,1,-0.0939
26350,202311,0.3796,2,0.1394
26440,202311,0.3463,3,-0.1646
26200,202311,0.3182,4,-0.1844
26140,202311,0.3167,5,-0.1522
26290,202311,0.3088,6,-0.1478
26500,202311,0.3036,7,0.0037
26320,202311,0.2765,8,-0.1559
26710,202311,0.2724,9,-0.1173
26260,202311,0.2712,10,-0.0875
26380,202311,0.2689,11,-0.1386
26410,202311,0.2614,12,-0.1771
26470,202311,0.2604,13,-0.1416
26230,202311,0.2588,14,-0.1368
26110,202311,0.2305,15,-0.2332
26170,202311,0.2013,16,-0.1105
26530,202312,0.4081,1,-0.0854
26440,202312,0.3785,2,-0.0869
26200,202312,0.3645,3,-0.0658
26500,202312,0.3428,4,0.1332
26290,202312,0.3367,5,-0.0708
26140,202312,0.3343,6,-0.1052
26320,202312,0.3321,7,0.0139
26380,202312,0.3135,8,0.0045
26350,202312,0.3127,9,-0.0614
26230,202312,0.3098,10,0.0333
26710,202312,0.307,11,-0.0052
26410,202312,0.3037,12,-0.0438
26470,202312,0.2965,13,-0.0228
26260,202312,0.2797,14,-0.0588
26110,202312,0.2679,15,-0.1086
26170,202312,0.2553,16,0.1285
26140,202401,0.3432,1,-0.0812
26530,202401,0.3299,2,-0.2606
26200,202401,0.3157,3,-0.1909
26440,202401,0.3137,4,-0.2434
26290,202401,0.3001,5,-0.1717
26500,202401,0.2788,6,-0.0785
26410,202401,0.2782,7,-0.1243
26320,202401,0.2691,8,-0.1785
26380,202401,0.2652,9,-0.1505
26350,202401,0.2615,10,-0.2152
26710,202401,0.261,11,-0.1542
26470,202401,0.2555,12,-0.1579
26230,202401,0.2401,13,-0.1992
26260,202401,0.2361,14,-0.2053
26170,202401,0.2145,15,-0.0518
26110,202401,0.2025,16,-0.3261
26530,202402,0.336,1,-0.247
26440,202402,0.3067,2,-0.2602
26140,202402,0.3028,3,-0.1894
26200,202402,0.3016,4,-0.2269
26290,202402,0.2967,5,-0.181
26230,202402,0.2747,6,-0.084
26320,202402,0.2746,7,-0.1615
26410,202402,0.2621,8,-0.175
26350,202402,0.261,9,-0.2165
26500,202402,0.2583,10,-0.1461
26380,202402,0.253,11,-0.1895
26470,202402,0.2513,12,-0.1717
26260,202402,0.2327,13,-0.2168
26170,202402,0.2317,14,0.0241
26710,202402,0.2306,15,-0.2528
26110,202402,0.2032,16,-0.324
26440,202403,0.3227,1,-0.2214
26530,202403,0.3192,2,-0.2847
26140,202403,0.3171,3,-0.1513
26200,202403,0.2857,4,-0.2677
26500,202403,0.283,5,-0.0646
26350,202403,0.2664,6,-0.2003
26290,202403,0.2655,7,-0.2672
26320,202403,0.2587,8,-0.2103
26230,202403,0.2465,9,-0.1779
26470,202403,0.2464,10,-0.1881
26380,202403,0.2431,11,-0.2212
26410,202403,0.2405,12,-0.243
26260,202403,0.234,13,-0.2125
26710,202403,0.2328,14,-0.2457
26170,202403,0.2154,15,-0.048
26110,202403,0.1938,16,-0.3551
26440,202404,0.3509,1,-0.1535
26530,202404,0.3181,2,-0.2872
26140,202404,0.2989,3,-0.1999
26350,202404,0.2958,4,-0.112
26200,202404,0.2937,5,-0.2472
26290,202404,0.2896,6,-0.2008
26410,202404,0.2688,7,-0.1539
26260,202404,0.2622,8,-0.1176
26230,202404,0.262,9,-0.1262
26320,202404,0.2578,10,-0.2131
26380,202404,0.2542,11,-0.1856
26500,202404,0.2507,12,-0.1714
26710,202404,0.2398,13,-0.2231
26470,202404,0.2383,14,-0.2145
26110,202404,0.2187,15,-0.2724
26170,202404,0.2087,16,-0.0774
26440,202405,0.3343,1,-0.1936
26140,202405,0.323,2,-0.1355
26530,202405,0.3122,3,-0.3004
26200,202405,0.3047,4,-0.219
26350,202405,0.281,5,-0.1566
26290,202405,0.2779,6,-0.2329
26500,202405,0.2769,7,-0.0846
26320,202405,0.2552,8,-0.2209
26110,202405,0.2552,9,-0.151
26230,202405,0.2507,10,-0.1638
26470,202405,0.2357,11,-0.223
26410,202405,0.2344,12,-0.262
26260,202405,0.2268,13,-0.2369
26380,202405,0.2248,14,-0.2799
26710,202405,0.2158,15,-0.3007
26170,202405,0.1924,16,-0.1496
26530,202406,0.3505,1,-0.2146
26140,202406,0.3478,2,-0.0691
26200,202406,0.3473,3,-0.1099
26290,202406,0.3423,4,-0.0553
26440,202406,0.3409,5,-0.1777
26350,202406,0.3261,6,-0.021
26710,202406,0.3002,7,-0.0272
26320,202406,0.299,8,-0.0872
26500,202406,0.2962,9,-0.0209
26230,202406,0.291,10,-0.0296
26410,202406,0.2908,11,-0.0845
26470,202406,0.2699,12,-0.1103
26380,202406,0.2675,13,-0.143
26110,202406,0.2583,14,-0.1405
26260,202406,0.2542,15,-0.1444
26170,202406,0.2471,16,0.092
26440,202407,0.3512,1,-0.1527
26530,202407,0.3214,2,-0.2798
26200,202407,0.2896,3,-0.2578
26320,202407,0.2767,4,-0.1552
26140,202407,0.2744,5,-0.2655
26290,202407,0.2695,6,-0.2563
26410,202407,0.2693,7,-0.1522
26350,202407,0.2621,8,-0.2131
26230,202407,0.2549,9,-0.1498
26470,202407,0.2509,10,-0.173
26500,202407,0.2491,11,-0.1767
26380,202407,0.2442,12,-0.2177
26260,202407,0.236,13,-0.2059
26710,202407,0.2291,14,-0.2575
26110,202407,0.2146,15,-0.2859
26170,202407,0.2107,16,-0.0688
26140,202408,0.3487,1,-0.0665
26440,202408,0.3386,2,-0.1832
26530,202408,0.3051,3,-0.3162
26200,202408,0.2997,4,-0.2319
26350,202408,0.2963,5,-0.1105
26320,202408,0.2863,6,-0.126
26290,202408,0.283,7,-0.2188
26470,202408,0.2696,8,-0.1114
26230,202408,0.2605,9,-0.1314
26500,202408,0.2552,10,-0.1565
26410,202408,0.2525,11,-0.2052
26260,202408,0.2433,12,-0.1813
26380,202408,0.241,13,-0.2278
26110,202408,0.2288,14,-0.2388
26710,202408,0.2226,15,-0.2787
26170,202408,0.2025,16,-0.1048
26470,202409,0.412,1,0.3578
26440,202409,0.3288,2,-0.2068
26530,202409,0.3205,3,-0.2817
26140,202409,0.3122,4,-0.1643
26200,202409,0.2963,5,-0.2407
26320,202409,0.2867,6,-0.1248
26290,202409,0.2779,7,-0.2329
26500,202409,0.2654,8,-0.1226
26350,202409,0.2642,9,-0.207
26410,202409,0.2617,10,-0.176
26230,202409,0.2612,11,-0.1289
26380,202409,0.2545,12,-0.1847
26260,202409,0.2433,13,-0.1813
26710,202409,0.2344,14,-0.2405
26110,202409,0.2288,15,-0.2386
26170,202409,0.2254,16,-0.004
26530,202410,0.3241,1,-0.2737
26200,202410,0.2968,2,-0.2393
26440,202410,0.286,3,-0.3101
26350,202410,0.2846,4,-0.1457
26290,202410,0.2805,5,-0.2258
26230,202410,0.2677,6,-0.107
26140,202410,0.2652,7,-0.29
26320,202410,0.262,8,-0.2001
26500,202410,0.2618,9,-0.1345
26410,202410,0.2499,10,-0.2134
26710,202410,0.2433,11,-0.2116
26380,202410,0.2379,12,-0.2378
26110,202410,0.2257,13,-0.2491
26470,202410,0.2187,14,-0.2792
26260,202410,0.2164,15,-0.2718
26170,202410,0.2061,16,-0.089
26440,202411,0.3441,1,-0.17
26530,202411,0.303,2,-0.321
26200,202411,0.2915,3,-0.2529
26140,202411,0.2895,4,-0.225
26290,202411,0.2829,5,-0.2192
26320,202411,0.2778,6,-0.152
26350,202411,0.2736,7,-0.1788
26500,202411,0.2624,8,-0.1325
26230,202411,0.2565,9,-0.1446
26710,202411,0.2371,10,-0.2319
26380,202411,0.2322,11,-0.256
26410,202411,0.2314,12,-0.2714
26260,202411,0.2248,13,-0.2436
26110,202411,0.212,14,-0.2946
26170,202411,0.2029,15,-0.1032
26470,202411,0.1061,16,-0.6504
26200,202412,0.362,1,-0.0722
26440,202412,0.3561,2,-0.1411
26140,202412,0.3499,3,-0.0634
26530,202412,0.3398,4,-0.2385
26320,202412,0.3174,5,-0.0309
26290,202412,0.3161,6,-0.1275
26350,202412,0.3072,7,-0.0778
26230,202412,0.2999,8,0.0001
26470,202412,0.2883,9,-0.0497
26380,202412,0.2812,10,-0.0991
26500,202412,0.2768,11,-0.0851
26410,202412,0.2744,12,-0.1363
26710,202412,0.2676,13,-0.1328
26260,202412,0.264,14,-0.1117
26110,202412,0.2595,15,-0.1368
26170,202412,0.2336,16,0.0326
26140,202501,0.3891,1,0.0416
26440,202501,0.3141,2,-0.2424
26530,202501,0.3036,3,-0.3197
26200,202501,0.2926,4,-0.2502
26290,202501,0.2671,5,-0.2628
26350,202501,0.2595,6,-0.2209
26320,202501,0.2555,7,-0.2199
26500,202501,0.242,8,-0.2001
26410,202501,0.2327,9,-0.2674
26230,202501,0.2309,10,-0.23
26380,202501,0.2293,11,-0.2654
26710,202501,0.2257,12,-0.2686
26260,202501,0.2142,13,-0.2791
26170,202501,0.2006,14,-0.1136
26110,202501,0.1945,15,-0.3528
26470,202501,0.1865,16,-0.3855
26440,202502,0.3175,1,-0.234
26530,202502,0.3044,2,-0.3178
26200,202502,0.2978,3,-0.2367
26140,202502,0.2975,4,-0.2036
26290,202502,0.2775,5,-0.2342
26350,202502,0.2671,6,-0.1981
26320,202502,0.2626,7,-0.1983
26500,202502,0.2607,8,-0.1382
26230,202502,0.2539,9,-0.1531
26410,202502,0.2498,10,-0.2136
26710,202502,0.2495,11,-0.1915
26380,202502,0.2407,12,-0.2288
26470,202502,0.2382,13,-0.215
26110,202502,0.233,14,-0.225
26260,202502,0.2132,15,-0.2825
26170,202502,0.1941,16,-0.1423
26440,202503,0.3099,1,-0.2525
26530,202503,0.2986,2,-0.3309
26200,202503,0.2802,3,-0.2819
26140,202503,0.2706,4,-0.2758
26320,202503,0.2663,5,-0.1868
26290,202503,0.2629,6,-0.2744
26230,202503,0.2605,7,-0.1313
26350,202503,0.2511,8,-0.2461
26470,202503,0.2384,9,-0.2144
26410,202503,0.2379,10,-0.2512
26500,202503,0.237,11,-0.2166
26380,202503,0.2367,12,-0.2416
26710,202503,0.2347,13,-0.2396
26260,202503,0.2309,14,-0.2231
26170,202503,0.2193,15,-0.0306
26110,202503,0.2056,16,-0.316
26530,202504,0.3216,1,-0.2793
26440,202504,0.3081,2,-0.2567
26350,202504,0.2903,3,-0.1285
26200,202504,0.2881,4,-0.2617
26140,202504,0.2824,5,-0.2441
26260,202504,0.272,6,-0.0847
26500,202504,0.2584,7,-0.146
26290,202504,0.2581,8,-0.2875
26170,202504,0.2562,9,0.1322
26320,202504,0.2533,10,-0.2265
26230,202504,0.2509,11,-0.1632
26380,202504,0.2497,12,-0.2001
26710,202504,0.2388,13,-0.2262
26410,202504,0.2385,14,-0.2492
26110,202504,0.2259,15,-0.2484
26470,202504,0.2183,16,-0.2805
26530,202505,0.2956,1,-0.3375
26440,202505,0.2815,2,-0.321
26200,202505,0.2747,3,-0.296
26320,202505,0.2467,4,-0.2468
26290,202505,0.2448,5,-0.3242
