gu,mpi,age,cls_old,new_rate,mpi_std,buy_chg,sell_chg,mpi_chg,cls_all
26710,0.2647,0.1963,14.91,38.75,0.2621,-0.2073,-0.0866,-0.1322,15.74
26320,0.2958,0.2398,14.0,30.33,0.2924,-0.1623,-0.0725,-0.0968,15.64
26290,0.3234,0.2307,13.47,31.61,0.2988,-0.3062,-0.1301,-0.2023,14.34
26500,0.2824,0.2584,12.98,34.7,0.2799,-0.1704,0.0269,-0.1921,14.91
26260,0.2737,0.2291,12.8,29.56,0.3113,-0.178,-0.0359,-0.1474,14.01
26230,0.2937,0.2361,12.49,31.09,0.2695,-0.1668,-0.0389,-0.1331,14.21
26350,0.2903,0.2222,12.36,34.32,0.3075,-0.1841,-0.0877,-0.1057,14.48
26410,0.2967,0.2424,12.3,28.91,0.2912,-0.2749,-0.1057,-0.1891,13.3
26200,0.3395,0.2849,12.08,28.78,0.4023,-0.2184,-0.0831,-0.1476,13.21
26440,0.3579,0.1342,11.9,36.67,0.3147,-0.1638,-0.0131,-0.1528,12.44
26470,0.2845,0.2312,11.77,31.06,0.2878,-0.2008,-0.0478,-0.1606,13.72
26380,0.284,0.245,11.68,27.36,0.2951,-0.2106,-0.107,-0.1159,13.55
26140,0.3541,0.2689,11.4,28.47,0.3332,-0.2861,-0.1877,-0.1211,12.58
26170,0.22,0.2918,11.13,35.46,0.2451,-0.1733,-0.1868,0.0166,12.11
26110,0.2581,0.2897,10.12,26.6,0.2649,-0.1528,-0.0815,-0.0776,11.37
26530,0.4061,0.2613,8.84,23.09,0.3203,-0.254,-0.108,-0.1637,10.34
