분야,2023,2024,2025,2025비중(%),증감률_24대비25(%)
교통,445821,461577,431223,60.88,-6.58
행정·안전,36235,44519,50229,7.09,12.83
도로,35048,36652,36854,5.20,0.55
주택·건축,14943,14489,28193,3.98,94.58
기타,22375,21592,20006,2.82,-7.35
경찰·검찰·법원,10725,13261,19916,2.81,50.19
환경,15528,17458,17059,2.41,-2.29
산업·통상,11587,14754,15542,2.19,5.34
보건,9234,10939,12077,1.70,10.40
복지,8304,10677,8987,1.27,-15.83
문화,7902,9975,7291,1.03,-26.91
교육,8664,6527,6929,0.98,6.16
노동,6767,6277,6458,0.91,2.88
해양수산,5498,4313,6365,0.90,47.58
방송통신,6642,6716,5794,0.82,-13.73
수자원,5159,4805,5261,0.74,9.49
재정,5456,5979,4864,0.69,-18.65
관광,5420,4739,4733,0.67,-0.13
국방,3874,4329,3897,0.55,-9.98
과학기술,3258,4416,3239,0.46,-26.65
세무,2896,3097,3038,0.43,-1.91
농림·축산,2965,3054,2991,0.42,-2.06
도시,2103,2388,2606,0.37,9.13
체육,2686,2855,2507,0.35,-12.19
우정,1204,1239,1204,0.17,-2.82
외무통일,1116,1226,1091,0.15,-11.01
합계,681410,717853,708354,100.00,-1.32
