관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
TRN001,교통,교통카드 사용이력교통카드 사용 이력 데이터,O,O,O,O,O,202201~202607,18,행 데이터 기준일자 / 교통카드 종류 / 카드식별 번호 / 교통카드 접촉 순서 / 승하차 상태 / EB 노선번호 / 노선번호 / 정류장 코드 / 정류장 명칭 / 운수업체 코드 / 차량 번호 / 운수업체 명칭 / 카드 사용 시간 / 카드 소유주 유형 / 탑승자 명세 / 탑승인원 / 정류장순번 / 적재일자
TRN002,교통,대중교통 운임정보 코드대중교통 운임 정보(수단·구간·등급 포함),O,O,O,O,O,202209~202209,12,이력 데이터 유일 번호 / 데이터 유효 시작 일자(UNIXTIME) / 데이터 유효 종료 일자(UNIXTIME) / 교통수단 유형 / 구간 명칭 / 출발지 / 도착지 / 좌석등급 / 출발시간 / 요금(원) / 데이터 업데이트 시간(UNIXTIME) / 적재일자
TRN003,교통,부산 버스정류장 기본정보 코드부산 버스정류장 기본정보,O,O,O,O,O,202301~202606,5,정류장코드 / 경도 / 위도 / 정류장명 / 적재일자
TRN004,교통,버스정류장·집계구 코드 매핑버스정류장과 집계구 매핑 정보,O,O,O,O,O,202207~202207,6,버스정류장 코드 / 집계구 코드 / 집계구 중심 경도 / 집계구 중심 위도 / DB 업데이트 일자 / 적재일자
TRN005,교통,부산 지하철역 기본정보 코드부산 지하철역 기본정보(노선/환승/좌표),O,O,O,O,O,202109~202109,17,행 데이터 기준 YYYYMMDD 일자 / 정류장 코드 / 정류장 명칭 / 지하철 노선 코드 / 지하철 노선 명칭 / 영문역사명 / 한자역사명 / 환승역구분 / 환승노선코드 / 환승노선명칭 / 위도 / 경도 / 운영기관명 / 역사도로주소 / 역사전화번호 / 행 데이터 변경 YYYYMMDD 일자 / 적재일자
TRN006,교통,지하철역·집계구 코드 매핑지하철역과 집계구 매핑 정보,O,O,O,O,O,202207~202207,6,지하철역 코드 / 집계구 코드 / 집계구 중심 경도 / 집계구 중심 위도 / DB 업데이트 일자 / 적재일자
TRN007,교통,행정동단위 차량등록 통계행정동 단위 차량등록 통계 데이터,O,O,O,O,O,202208~202309,16,기준일자 / 시도명 / 시군구명 / 행정동명 / 행정구역 코드 / 차종 / 세대주 성별 / 세대주 연령대 / 세대원수 / 연료 / 배기량 / 차량용도 / 차량등록 년도 / 차량대수 / 적재일시 / 센터코드
TRN008,교통,집계구단위 차량등록 통계집계구 단위 차량등록 통계 데이터,O,O,O,O,O,202208~202309,18,기준일자 / 시도명 / 시군구명 / 행정동명 / 집계구코드 / 집계구 x좌표 / 집계구 y좌표 / 차종 / 세대주 성별 / 세대주 연령 / 세대원수 / 연료 / 배기량 / 차량용도 / 차량등록 년도 / 차량대수 / 적재일시 / 센터코드
TRN009,교통,"버스정류장 탑승객 합계버스 정류장, 일 단위, 시간대 별 탑승객 합계",O,O,O,O,O,202201~202607,10,데이터 생성 년월 / 데이터 생성 일자 / 데이터 생성 시간대 / 버스 정류장 ID / 버스 정류장 명칭 / 버스 정류장 위치(경도) / 버스 정류장 위치(위도) / 탑승객 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
TRN010,교통,"지하철역 탑승객 합계지하철 역, 일 단위, 시간대 별 탑승객 합계",O,O,O,O,O,202201~202607,10,데이터 생성 년월 / 데이터 생성 일자 / 데이터 생성 시간대 / 지하철 역 ID / 지하철 역 명칭 / 지하철 역 위치(경도) / 지하철 역 위치(위도) / 탑승객 합계 / 데이터 적재 일자 / 데이터 생성 센터 코드
