군,데이터 분야,데이터 코드,데이터 이름,신청 시간 범위,반출등급,용도
1군,소비,SPN090,사업장_매입,202306~202604,응용집계·시각화,총매입 M — MPI 핵심
1군,소비,SPN088,사업장_카드매출,202306~202604,응용집계·시각화,총매출 S 카드분
1군,소비,SPN089,사업장_현금매출,202306~202604,응용집계·시각화,총매출 S 현금·세금계산서분
1군,소비,SPN091,사업장_메뉴,202306~202604,응용집계·시각화,메뉴가격 → 가격전가계수 π
1군,소비,SPN094,KCD 업종 분류,2025~2025,원본 가능,KCD 업종코드 해석
1군,금융,CRD025,기업거래 : 매출매입,202301~202606,응용집계·시각화,NET_EXIT·HHI 산출
1군,금융,CRD023,기업거래 : 사업장정보,202301~202606,응용집계·시각화,폐업 종속변수 + 주소·좌표
1군,금융,CRD022,기업거래 : 기업정보,202301~202606,응용집계·시각화,커버리지 판정 + 조인 브리지
1군,금융,CRD026,전입 전출 기업 목록,202301~202606,응용집계·시각화,이전을 폐업에서 제외
1군,소비,SPN059,행정동단위 지역화폐 거래 통계,202201~202309,원본 전부 가능,AGE_LEVEL·AGE_SLOPE
1군,소비,SPN060,집계구단위 지역화폐 거래 통계,202201~202309,원본 전부 가능,집계구 공간 분석
1군,소비,SPN020,BC카드 업종 분류 코드,202201~202201,원본 가능,동백전 업종 해석 (SPN093 아님)
1군,소비,SPN057,부산광역시 행정동·행정기관·행정구역 코드 매핑(2023),202307~202307,원본 전부 가능,행정동 코드 자릿수 매핑 허브
1군,인구,POP014,지역별 인구 합계,202108~202408,원본 전부 가능,행정동↔집계구 브리지 + 지역 고령화
1군,인구,POP001,집계구 코드 기본정보,202101~202312,원본 전부 가능,좌표·주소↔집계구 브리지
1군,부동산,REL020,월별 공시지가 데이터,202208~202401,반출 불가,법정동코드 대조 (SPN090 체계 판별)
1군,관광,TOU007,지역 업종 규모 사업체 합계,202112~202312,원본 전부 가능,소상공인 모집단 분모 — 결론 3층
2군,금융,CRD024,기업거래 : 재무정보,202301~202606,응용집계·시각화,매출 추세 ΔREV
2군,소비,SPN082,행정동별 가맹점 창폐업 카드소비 데이터,202301~202606,응용집계·시각화,폐업 교차검증 + 개인/법인 대조군
2군,인구,POP019,행정동별 성연령별 생활인구(행정동),202301~202606,응용집계·시각화,지역 고령화 대리변수
2군,인구,POP022,행정동별 시간대별 생활인구(행정동),202301~202606,응용집계·시각화,수요 측 통제변수
2군,금융,CRD020,소득통계,202306~202606,응용집계·시각화,상권 소득 수준 통제
2군,금융,CRD021,대출 및 연체,202306~202601,응용집계·시각화,재무 스트레스 통제
2군,부동산,REL015,지역별 전월세 금액 면적 평균,202107~202512,원본 전부 가능,임대료 원가 통제변수
3군,소비,SPN058,전통시장별 지역화폐 거래 통계,202201~202309,원본 전부 가능,전통시장 = 영세 소상공인 집합
