연번,신고일시,신고위치 지번주소,위도,경도,위반구분,과태료부과여부,데이터기준일자
1,2024-02-06 03:10,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
2,2024-02-07 20:50,부산광역시 사하구 장림동 325-62,35.08071873 ,128.97036552 ,버스정류장 주변,Y,2025-12-01
3,2024-02-07 13:13,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
4,2024-02-07 01:44,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
5,2024-02-08 13:23,부산광역시 사하구 하단동 516,35.10831907 ,128.96617417 ,교차로,Y,2025-12-01
6,2024-02-11 03:35,부산광역시 사하구 신평동 9-1,35.09447772 ,128.97574068 ,횡단보도,Y,2025-12-01
7,2024-02-11 00:00,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,소방시설 주변,Y,2025-12-01
8,2024-02-11 00:07,부산광역시 사하구 괴정동 1215-1,35.09724444 ,128.97795693 ,보도(인도)위,Y,2025-12-01
9,2024-02-12 00:33,부산광역시 사하구 감천동 7-89,35.09766555 ,129.00954001 ,소방시설 주변,Y,2025-12-01
10,2024-02-13 08:58,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,교차로,Y,2025-12-01
11,2024-02-14 00:07,부산광역시 사하구 하단동 618-11,35.10507131 ,128.96791027 ,소방시설 주변,Y,2025-12-01
12,2024-02-14 19:51,부산광역시 사하구 괴정동 1228,35.09881352 ,128.97772312 ,소방시설 주변,Y,2025-12-01
13,2024-02-16 08:17,부산광역시 사하구 하단동 493-1,35.11166242 ,128.96590509 ,버스정류장 주변,Y,2025-12-01
14,2024-02-16 18:19,부산광역시 사하구 다대동 82-7,35.06777604 ,128.97937752 ,교차로,Y,2025-12-01
15,2024-02-16 20:07,부산광역시 사하구 하단동 516,35.10831907 ,128.96617417 ,보도(인도)위,Y,2025-12-01
16,2024-02-16 20:12,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
17,2024-02-16 20:48,부산광역시 사하구 감천동 803-42,35.08815372 ,128.99602744 ,교차로,Y,2025-12-01
18,2024-02-17 10:14,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
19,2024-02-21 22:20,부산광역시 사하구 괴정동 994-1,35.10108858 ,128.99248392 ,횡단보도,Y,2025-12-01
20,2024-02-21 18:59,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
21,2024-02-21 19:11,부산광역시 사하구 하단동 491,35.10959839 ,128.96622464 ,보도(인도)위,Y,2025-12-01
22,2024-02-22 19:42,부산광역시 사하구 하단동 526-8,35.10681655 ,128.96684430 ,보도(인도)위,Y,2025-12-01
23,2024-02-22 09:20,부산광역시 사하구 당리동 307-30,35.10616906 ,128.97292589 ,교차로,Y,2025-12-01
24,2024-02-22 09:20,부산광역시 사하구 당리동 307-30,35.10616906 ,128.97292589 ,교차로,Y,2025-12-01
25,2024-02-26 00:01,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,소방시설 주변,Y,2025-12-01
26,2024-02-26 04:07,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
27,2024-02-27 18:33,부산광역시 사하구 감천동 296-1,35.08223097 ,129.01026614 ,보도(인도)위,Y,2025-12-01
28,2024-02-16 20:35,부산광역시 사하구 하단동 523,35.10789334 ,128.96294504 ,교차로,Y,2025-12-01
29,2024-03-03 15:46,부산광역시 사하구 괴정동 1278,35.10523486 ,129.00026113 ,횡단보도,Y,2025-12-01
30,2024-03-04 22:51,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,횡단보도,Y,2025-12-01
31,2024-03-04 19:02,부산광역시 사하구 당리동 333,35.10078072 ,128.97673462 ,횡단보도,Y,2025-12-01
32,2024-03-06 06:24,부산광역시 사하구 하단동 612,35.10474765 ,128.96836274 ,교차로,Y,2025-12-01
33,2024-03-07 13:36,부산광역시 사하구 다대동 1-20,35.05821357 ,128.98859467 ,보도(인도)위,Y,2025-12-01
34,2024-03-08 13:41,부산광역시 사하구 하단동 589-14,35.10589845 ,128.96689845 ,보도(인도)위,Y,2025-12-01
35,2024-03-08 07:07,부산광역시 사하구 감천동 729,35.08927942 ,128.99910988 ,보도(인도)위,Y,2025-12-01
36,2024-03-08 18:41,부산광역시 사하구 다대동 81-14,35.06795232 ,128.97975227 ,교차로,Y,2025-12-01
37,2024-03-08 18:22,부산광역시 사하구 괴정동 403-43,35.09978618 ,128.99713301 ,교차로,Y,2025-12-01
38,2024-03-09 10:09,부산광역시 사하구 당리동 356,35.10397626 ,128.98233251 ,교차로,Y,2025-12-01
39,2024-03-09 19:36,부산광역시 사하구 당리동 544-1,35.10742017 ,128.97628876 ,보도(인도)위,Y,2025-12-01
40,2024-02-25 19:43,부산광역시 사하구 다대동 820-5,35.05575107 ,128.97197862 ,횡단보도,Y,2025-12-01
41,2024-03-13 18:02,부산광역시 사하구 감천동 729-1,35.08936885 ,128.99955018 ,보도(인도)위,Y,2025-12-01
42,2024-03-14 18:26,부산광역시 사하구 괴정동 660-2,35.09808393 ,128.98652852 ,횡단보도,Y,2025-12-01
43,2024-03-17 19:18,부산광역시 사하구 하단동 591,35.10533645 ,128.96109403 ,교차로,Y,2025-12-01
44,2024-03-17 20:19,부산광역시 사하구 신평동 79-18,35.09017111 ,128.97490688 ,보도(인도)위,Y,2025-12-01
45,2024-03-19 07:57,부산광역시 사하구 감천동 729,35.08927942 ,128.99910988 ,보도(인도)위,Y,2025-12-01
46,2024-03-21 22:33,부산광역시 사하구 괴정동 1279,35.10498007 ,129.00005532 ,버스정류장 주변,Y,2025-12-01
47,2024-03-23 00:17,부산광역시 사하구 당리동 334,35.10259930 ,128.97447375 ,횡단보도,Y,2025-12-01
48,2024-03-24 22:08,부산광역시 사하구 신평동 583,35.08824164 ,128.97763882 ,횡단보도,Y,2025-12-01
49,2024-03-27 06:53,부산광역시 사하구 장림동 244-6,35.07936591 ,128.97925847 ,보도(인도)위,Y,2025-12-01
50,2024-03-28 21:28,부산광역시 사하구 당리동 314,35.10570946 ,128.96894142 ,교차로,Y,2025-12-01
51,2024-03-30 21:20,부산광역시 사하구 다대동 798-6,35.05561691 ,128.97202076 ,횡단보도,Y,2025-12-01
52,2024-04-09 18:32,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
53,2024-04-14 07:59,부산광역시 사하구 다대동 1639,35.05687713 ,128.96498799 ,교차로,Y,2025-12-01
