기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2611051000,중구 중앙동,20대,69772647,2480
202512,2611051000,중구 중앙동,20대미만,3315708,151
202512,2611051000,중구 중앙동,30대,138347029,4021
202512,2611051000,중구 중앙동,40대,166691114,4053
202512,2611051000,중구 중앙동,50대,173276585,3709
202512,2611051000,중구 중앙동,60대이상,193623695,3726
202512,2611052000,중구 동광동,20대,6877243,358
202512,2611052000,중구 동광동,20대미만,242871,15
202512,2611052000,중구 동광동,30대,10952793,435
202512,2611052000,중구 동광동,40대,12473053,470
202512,2611052000,중구 동광동,50대,15872060,554
202512,2611052000,중구 동광동,60대이상,26623291,635
202512,2611053000,중구 대청동,20대,12083776,387
202512,2611053000,중구 대청동,20대미만,495594,29
202512,2611053000,중구 대청동,30대,17240800,500
202512,2611053000,중구 대청동,40대,34746651,610
202512,2611053000,중구 대청동,50대,34136886,772
202512,2611053000,중구 대청동,60대이상,72133734,1324
202512,2611054500,중구 보수동,20대,7536826,543
202512,2611054500,중구 보수동,20대미만,594512,52
202512,2611054500,중구 보수동,30대,9278069,451
202512,2611054500,중구 보수동,40대,15302827,519
202512,2611054500,중구 보수동,50대,23049961,751
202512,2611054500,중구 보수동,60대이상,36612620,1058
202512,2611056000,중구 부평동,20대,69881291,2572
202512,2611056000,중구 부평동,20대미만,4501856,233
202512,2611056000,중구 부평동,30대,75813468,2363
202512,2611056000,중구 부평동,40대,100417455,2693
202512,2611056000,중구 부평동,50대,127631502,3409
202512,2611056000,중구 부평동,60대이상,195941804,5182
202512,2611057000,중구 광복동,20대,66392888,2582
202512,2611057000,중구 광복동,20대미만,5975538,344
202512,2611057000,중구 광복동,30대,74265038,2541
202512,2611057000,중구 광복동,40대,104005495,2847
202512,2611057000,중구 광복동,50대,105852191,2377
202512,2611057000,중구 광복동,60대이상,146337462,2838
202512,2611058000,중구 남포동,20대,59549382,2203
202512,2611058000,중구 남포동,20대미만,6222264,306
202512,2611058000,중구 남포동,30대,73753661,2034
202512,2611058000,중구 남포동,40대,103780593,2327
202512,2611058000,중구 남포동,50대,148935229,2986
202512,2611058000,중구 남포동,60대이상,359287991,6216
202512,2611059000,중구 영주1동,20대,2411817,187
202512,2611059000,중구 영주1동,20대미만,49522,6
202512,2611059000,중구 영주1동,30대,4657774,205
202512,2611059000,중구 영주1동,40대,6522184,232
202512,2611059000,중구 영주1동,50대,8797883,315
202512,2611059000,중구 영주1동,60대이상,14678115,402
202512,2611060000,중구 영주2동,20대,1410611,122
202512,2611060000,중구 영주2동,20대미만,157491,20
202512,2611060000,중구 영주2동,30대,2911365,163
202512,2611060000,중구 영주2동,40대,3961677,208
202512,2611060000,중구 영주2동,50대,5448963,304
202512,2611060000,중구 영주2동,60대이상,10636098,445
202512,2614051000,서구 동대신1동,20대,3191849,160
202512,2614051000,서구 동대신1동,20대미만,279943,20
202512,2614051000,서구 동대신1동,30대,5351494,179
202512,2614051000,서구 동대신1동,40대,9348522,237
202512,2614051000,서구 동대신1동,50대,12113176,337
202512,2614051000,서구 동대신1동,60대이상,23339636,582
202512,2614052000,서구 동대신2동,20대,6780570,326
202512,2614052000,서구 동대신2동,20대미만,556724,41
202512,2614052000,서구 동대신2동,30대,11766064,296
202512,2614052000,서구 동대신2동,40대,21175901,415
202512,2614052000,서구 동대신2동,50대,24215826,474
202512,2614052000,서구 동대신2동,60대이상,22587074,497
202512,2614053000,서구 동대신3동,20대,13241469,763
202512,2614053000,서구 동대신3동,20대미만,1016381,78
202512,2614053000,서구 동대신3동,30대,44627111,859
202512,2614053000,서구 동대신3동,40대,68206151,1243
202512,2614053000,서구 동대신3동,50대,108944677,1651
202512,2614053000,서구 동대신3동,60대이상,224457142,2358
202512,2614054000,서구 서대신1동,20대,12934430,866
202512,2614054000,서구 서대신1동,20대미만,1300655,101
202512,2614054000,서구 서대신1동,30대,21412460,807
202512,2614054000,서구 서대신1동,40대,44897966,1213
202512,2614054000,서구 서대신1동,50대,59233900,1570
202512,2614054000,서구 서대신1동,60대이상,100596234,2274
202512,2614056000,서구 서대신3동,20대,5652380,340
202512,2614056000,서구 서대신3동,20대미만,886556,91
202512,2614056000,서구 서대신3동,30대,10154015,404
202512,2614056000,서구 서대신3동,40대,23065522,717
202512,2614056000,서구 서대신3동,50대,22181233,773
202512,2614056000,서구 서대신3동,60대이상,29778961,851
202512,2614057000,서구 서대신4동,20대,2920595,148
202512,2614057000,서구 서대신4동,20대미만,138447,11
202512,2614057000,서구 서대신4동,30대,7647426,178
