가맹점명,도로명주소,지번주소,위도,경도,데이터기준일자
고봉민김밥인,부산 영도구 와치로 250 (동삼동) 1층,,35.07531479,129.0687705,2024-09-30
미사랑스킨앤바디,"부산 사하구 승학로224번길 10 ,1층(괴정동)",,35.10123926,128.9903131,2024-09-30
우리생협 대신점,부산 서구 동대신동1가 112-2,,35.11064719,129.0199572,2024-09-30
피자스쿨부산재송점,"부산 해운대구 재반로 182 (재송동,비둘기맨션)",,35.19346676,129.1305573,2024-09-30
미스터피자아시아드2호점,"부산 연제구 월드컵대로 232, 거벌빌딩2층 (거제동)",,35.18989019,129.0719398,2024-09-30
성원칼국수,부산 부산진구 냉정로 220-1 (개금동),,35.15089725,129.023928,2024-09-30
다파라용,부산 기장군 기장읍 차성동로172번길 10 ,,35.25297904,129.2183251,2024-09-30
골목갈비 개금점,부산 부산진구 복지로8번길 8 (개금동) 1층,,35.15217543,129.0198723,2024-09-30
김병조국어전문학원,"부산 부산진구 동평로 380, 7층 한스빌딩 (양정동)",,35.17446027,129.0666321,2024-09-30
와이비엠잉글루광안제1학원,"부산 수영구 광일로29번가길 23, 2층 (광안동)",,35.1611136,129.1094077,2024-09-30
오뚜기기사식당,"부산 사하구 다대로320번길 25, A동 나호 (장림동)",,35.07373933,128.9733798,2024-09-30
미앤미에스테틱,부산 금정구 남산로 8-2 (남산동),,35.26699906,129.0915518,2024-09-30
양푼,부산 동래구 안락로 33 (안락동),,35.20048385,129.1007739,2024-09-30
태양상회,부산 부산진구 중앙대로769번길 53 (부전동),,35.16238281,129.0593176,2024-09-30
현대메디칼약국,부산 남구 고동골로78번길 12 (문현동),,35.14376509,129.0720472,2024-09-30
에듀플렉스에듀코치개별지도해운대학원,"부산 해운대구 좌동순환로 173, 902호 (좌동,영풍프라자)",,35.1781587,129.1752798,2024-09-30
피자에땅,"부산 사하구 낙동대로 520, 101호 (하단동) 상가",,35.1107282,128.9661304,2024-09-30
이가네과일야채,부산 사하구 낙동대로189번길 16 1층 (괴정동),,35.10031604,128.9962686,2024-09-30
치킨업(UP),부산 연제구 거제천로 183 (거제동),,35.18957163,129.0783699,2024-09-30
영재들의미술상자 미술학원,부산 남구 대연동 1862 대연힐스테이트푸르지오상가2층210-1호,,35.13998175,129.1038533,2024-09-30
고래애,"부산 수영구 수영로702번길 10, B1층 1호 F (광안동)",,35.1671266,129.1161854,2024-09-30
강나루,"부산 중구 중구로34번길 21, 1층 2호 선경양행 (신창동1가)",,35.10117765,129.0301054,2024-09-30
홍보상회,"부산 동구 진시장로 24 (범일동,부산진시장) 3층가발부1,2호",,35.13642685,129.0588381,2024-09-30
노랑통닭,부산 강서구 명지오션시티4로 94 (명지동),,35.0806738,128.9032493,2024-09-30
팔도축산,부산 수영구 수영성로13번길 12-24 (수영동),,35.16929978,129.1170714,2024-09-30
주식회사 일영이푸드(102FOOD),부산 기장군 정관읍 산단7로 65 ,,35.31973671,129.209946,2024-09-30
코코마랑,"부산 부산진구 서전로46번길 60 ,1층(전포동)",,35.15504302,129.064732,2024-09-30
사직실비,"부산 동래구 아시아드대로220번길 20-2, 1층 (온천동)",,35.20315094,129.0677105,2024-09-30
렙타일정글(Reptile Jungle),"부산 부산진구 동평로 190 ,1층 (부암동)",,35.16723702,129.0494683,2024-09-30
떡비,부산 남구 수영로13번길 22 (문현동),,35.13790529,129.0700938,2024-09-30
용인대튼튼i태권도,"부산 기장군 정관면 정관4로 24, 501-201호 동일스위트1차상가",,35.32505796,129.1702888,2024-09-30
태들보모산태권도,"부산 사상구 백양대로934번길 80, B01호 상가 (모라동,모라벽산아파트)",,35.19148697,128.9936816,2024-09-30
예리한국어교습소,"부산 동래구 명장로 105 (명장동,2층)",,35.20195807,129.1110728,2024-09-30
작은음악회 피아노교습소,"부산 해운대구 좌동순환로99번길 22 ,203 (좌동,경남아파트상가)",,35.17735666,129.1668808,2024-09-30
원더랜드 주식회사,"부산 수영구 광남로 60 , 402호(남천동,광명빌딩)",,35.14765083,129.1129011,2024-09-30
민들레내과의원,"부산 금정구 청룡예전로 2 2,3층(청룡동)",,35.27394125,129.0923705,2024-09-30
석이네 닭 칼국수,"부산 연제구 연수로225번길 3 ,1층 (연산동)",,35.17383494,129.0952545,2024-09-30
몽실이비어,부산 수영구 광일로 17 1층 (광안동),,35.16209884,129.1120554,2024-09-30
조은약국,부산 연제구 월드컵대로 24 (거제동),,35.17691982,129.0860192,2024-09-30
해운대신대학약국,부산 해운대구 좌동순환로 247 (좌동),,35.17376574,129.1811665,2024-09-30
비앤비스토리(B&B Story),부산 중구 광복중앙로 21 (신창동1가),,35.10130818,129.0306554,2024-09-30
해바라기 콜렉션,부산 중구 광복로35번길 13 (신창동3가),,35.10059435,129.0287379,2024-09-30
세화약국,"부산 부산진구 대학로 3 1층 (가야동, 세화빌딩)",,35.15449091,129.0380216,2024-09-30
삼성영어수학학원,부산 사하구 하신번영로 405 4층 403호 (하단동),,35.1171386,128.9602931,2024-09-30
블랙홀카페,부산 동래구 사직북로 4 205호 (사직동),,35.19626616,129.0613611,2024-09-30
오픈하우스,부산 북구 중리로 88-13 (만덕동),,35.21284063,129.0460797,2024-09-30
풍선&토탈공방,부산 부산진구 엄광로147번길 32 (가야동),,35.14883797,129.0318369,2024-09-30
GS25달산원룸점,부산 기장군 정관면 달산3길 18 (정관센트럴파크1층),,35.32080088,129.1853492,2024-09-30
투썸플레이스,부산 북구 덕천로 300 1층 (만덕동),,35.20928874,129.0367097,2024-09-30
남자머리,부산 수영구 수영로 565 1층 (광안동),,35.15628058,129.1125249,2024-09-30
다솜메디칼의원,부산 기장군 기장읍 차성로 436 (교리),,35.25445368,129.2177868,2024-09-30
LED스마트,"부산 연제구 거제천로87번길 30 101동 312호 (거제동,연제그린타워)",,35.18326489,129.0719515,2024-09-30
바니바니,부산 금정구 동현로 25 1층 (부곡동),,35.2232939,129.0912621,2024-09-30
장산왕뼈감자탕,부산 해운대구 세실로69번길 19 202호 (좌동),,35.17207883,129.1757521,2024-09-30
장정애한복디자이너 부산동국주단,부산 동구 범일로 64-8 (범일동),,35.13556006,129.0600339,2024-09-30
비키,"부산 사상구 광장로 7 ,2332호,2359호(괘법동,르네시떼)",,35.16433176,128.9777197,2024-09-30
세븐일레븐부산장전낙원점,"부산 금정구 부산대학로64번안길 3 (장전동,낙원원룸1층 상가)",,35.23574116,129.0853426,2024-09-30
아모레(동래미남점)특약점,부산 동래구 아시아드대로 225 (온천동),,35.20425128,129.0666157,2024-09-30
더채움수학교습소,"부산 강서구 명지오션시티11로 51 상가 322동 307호 (명지동, 영어도시퀸덤1차아인슈타인타운)",,35.08634202,128.8998465,2024-09-30
오쪽이락,부산 수영구 민락로 7-7 1층 (민락동),,35.15590106,129.1223867,2024-09-30
합천돼지국밥,"부산 부산진구 엄광로44번길 36-2 ,1층 (개금동)",,35.14661835,129.0214709,2024-09-30
더에이치모터스(the H motors),부산 해운대구 명장로67번길 117 (반여동),,35.20445566,129.115884,2024-09-30
아문서적,부산 사상구 가야대로134번길 35 (학장동),,35.14796599,128.9872581,2024-09-30
둘리당구장,부산 연제구 연산동 726-7번지,,35.18674295,129.0822193,2024-09-30
화명새봄약국,"부산 북구 화명대로 47 ,1층(화명동,롯데마트)",,35.23517016,129.0130124,2024-09-30
카홀릭,부산 남구 전포대로 110 1층 (문현동),,35.14665778,129.067037,2024-09-30
씨유동서대점,부산 사상구 가야대로344번길 89 (주례동),,35.14686197,129.0107081,2024-09-30
사이언피아 과학학원,"부산 부산진구 백양대로 84 4,5층",,35.16192408,129.0405091,2024-09-30
또와손칼국수,부산 사상구 덕포동 427-1번지,,35.17038432,128.9816564,2024-09-30
3030영어교습소,부산 기장군 기장읍 차성로344번길 12 2층,,35.24805138,129.2153615,2024-09-30
개성시대,부산 해운대구 윗반송로51번길 83-10 (반송동),,35.23124722,129.1558984,2024-09-30
창녕상회,부산 기장군 기장읍 대라리 117-1번지,,35.24214118,129.2123946,2024-09-30
김문영헤어#,"부산 남구 수영로266번길 82 ,1층 102호(대연동,꿈에그린)",,35.13338264,129.099002,2024-09-30
디저트에스프레소바,부산 북구 만덕1로 112-1 1층 101호 (만덕동),,35.21368557,129.02531,2024-09-30
요가아르사나,"부산 북구 금곡대로285번길 39 602호 (화명동, 대일코아빌딩)",,35.23392316,129.0112281,2024-09-30
호주에서온스시,부산 강서구 명지국제8로 264 1층 105호 (명지동),,35.09757328,128.9214672,2024-09-30
휴마루 흙침대,부산 동구 중앙대로 469-1 1층 (좌천동),,35.13553963,129.0551507,2024-09-30
사상늘편한재활의학과의원,"부산 사상구 사상로 194 , 2,8층 (괘법동,괘법동메디컬센터)",,35.16256194,128.9847674,2024-09-30
지니어스 음악줄넘기센터,부산 연제구 과정로 207 3층 (연산동),,35.18751335,129.1046832,2024-09-30
문스키친,"부산 해운대구 좌동로63번길 46 301동 104호 (중동, 해운대중동롯데캐슬마스터II)",,35.17135384,129.1724374,2024-09-30
영진당,부산 부산진구 대학로 11-6 1층 (가야동),,35.15417105,129.0374798,2024-09-30
피자스쿨부산반송점,"부산 해운대구 신반송로 194 5-6호 (반송동, 광하아파트)",,35.22995161,129.1594173,2024-09-30
보배섬,부산 남구 못골로 56 대연시장 75호 (대연동),,35.13567765,129.0884222,2024-09-30
바깥생활,"부산 남구 수영로 312 712호 (대연동, 21센츄리시티오피스텔)",,35.13698252,129.1006196,2024-09-30
한국보물금거래소,부산 수영구 연수로401번길 3 1층 1호 (수영동),,35.16891949,129.1133449,2024-09-30
쿠술집,부산 사하구 낙동남로1423번길 28 4층 401호 (하단동),,35.10775821,128.9666766,2024-09-30
씨유(CU)전포유성점,"부산 부산진구 전포대로 170 B1층 101호 (전포동, 유성해네스타워)",,35.15180674,129.0657873,2024-09-30
포뮬라의원,"부산 부산진구 서면로 40 1동 7,8층 (부전동, 청양빌딩)",,35.15424532,129.0580486,2024-09-30
범일식당,부산 동구 중앙대로533번길 14 (범일동),,35.14100724,129.0555945,2024-09-30
개미상회,"부산 동구 진시장로 24 (범일동,부산진시장3-문방-1)",,35.13642685,129.0588381,2024-09-30
시그마수학학원,"부산 동래구 사직로 80 상가 222동 411호 (사직동, 사직쌍용예가)",,35.19662439,129.0575114,2024-09-30
풀하우스,부산 동구 초량로 19-1 (초량동),,35.11937499,129.0398244,2024-09-30
캐슬두배로,"부산 금정구 금강로 503 제근린 2동 1층 101호 (구서동, 롯데캐슬골드2단지)",,35.25268575,129.0864917,2024-09-30
매일샌드해,부산 강서구 명지국제12로11번길 15-13 1층 일부 101호 (명지동),,35.10616152,128.9217615,2024-09-30
한쌤교실,"부산 북구 금곡대로 166 606동 204호 (화명동, 롯데캐슬카이저)",,35.22475314,129.0137285,2024-09-30
정무관 합기도,부산 남구 진남로 108 (대연동),,35.13834538,129.083443,2024-09-30
박언희미용실,부산 부산진구 새싹로 204-1 1층(초읍동),,35.17441501,129.0491325,2024-09-30
천헤어샵,부산 남구 문현로 63 (문현동),,35.14352293,129.0759726,2024-09-30
팔복식당,부산 부산진구 당감로50번길 20 (당감동),,35.16619173,129.0400366,2024-09-30
하림약국,부산 영도구 동삼로 25 (동삼동),,35.07602751,129.0717623,2024-09-30
리라화장품,부산 사하구 다대동 943-6,,35.05691996,128.9698802,2024-09-30
미로한의원,부산 금정구 중앙대로1841번길 91 (구서동),,35.24924471,129.0872479,2024-09-30
송림장식,부산 금정구 금강로 728 (남산동),,35.27237449,129.089195,2024-09-30
소문난찜,부산 해운대구 좌동로53번길 35-13 (중동),,35.17203698,129.1726338,2024-09-30
모나드,"부산 부산진구 부전동 516-27,516-28",,35.15571548,129.0569152,2024-09-30
장수한의원,부산 서구 충무대로 276 2층(충무동1가),,35.09523066,129.0245248,2024-09-30
케익하우스델리,부산 사상구 모라로110번길 96 주공아파트1단지 상가 104호(모라동),,35.184175,128.9960738,2024-09-30
